#{"t_start": 1767352371.3293087, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
545.0,2531,13013.117253
770.0,4714,13044.410238
545.0,4160,13072.170332
345.0,2503,13086.677765
610.0,3559,13108.410259
465.0,3227,13126.856839
125.0,1463,13135.197049
700.0,3577,13155.086914
510.0,3593,13174.133743
520.0,3513,13191.757858
560.0,3987,13214.17548
555.0,6085,13247.670482
485.0,3489,13270.839704
420.0,3233,13289.2001
600.0,3705,13311.461024
600.0,4787,13335.579662
600.0,4225,13370.564715
485.0,3709,13388.853791
510.0,3835,13407.833017
410.0,3011,13422.968418
520.0,3671,13443.506957
680.0,3681,13461.534803
705.0,4539,13487.635841
600.0,5535,13516.28758
600.0,3457,13535.070142
385.0,3067,13552.838498
545.0,3859,13573.721162
980.0,8079,13614.675907
465.0,4687,13637.600122
500.0,4253,13658.735485
515.0,4433,13680.289281
600.0,4359,13701.934677
1000.0,4015,13721.810835
465.0,3409,13739.255299
600.0,3889,13758.473149
415.0,3143,13773.667044
530.0,3936,13792.993562
860.0,4079,13812.924386
480.0,4419,13835.312658
300.0,2483,13848.877728
615.0,3355,13866.139579
600.0,4427,13903.502923
575.0,3929,13922.79007
515.0,4351,13944.24229
540.0,3965,13963.945786
725.0,3868,13985.546431
525.0,4412,14007.963235
485.0,3451,14027.248242
525.0,4777,14049.097543
510.0,2501,14059.918453
840.0,4069,14077.476032
600.0,4213,14096.508606
410.0,3261,14110.535645
515.0,3602,14127.705377
490.0,4475,14147.358813
455.0,3786,14164.979038
155.0,2067,14173.850608
570.0,3107,14187.729976
495.0,2929,14200.65571
260.0,2439,14211.151727
480.0,3191,14224.997223
545.0,3993,14242.056955
660.0,3741,14261.50976
675.0,3755,14283.295012
435.0,3772,14302.17081
665.0,3973,14321.64503
770.0,4996,14346.600091
600.0,4277,14368.015671
470.0,3577,14398.790567
345.0,2455,14412.99351
510.0,3375,14429.411014
485.0,3493,14454.69697
670.0,3967,14478.811563
545.0,3530,14497.922434
550.0,3533,14516.162759
355.0,2967,14531.070185
320.0,2662,14544.150349
655.0,3147,14560.567343
255.0,3067,14575.849088
320.0,2851,14590.270139
445.0,2963,14604.949867
600.0,4343,14626.311044
555.0,4171,14647.065106
600.0,3817,14665.821082
775.0,4615,14688.735653
70.0,1497,14696.027839
555.0,4513,14718.278234
525.0,3647,14737.156497
525.0,3713,14755.326598
230.0,2387,14768.529413
845.0,3833,14787.429538
600.0,5171,14813.391397
745.0,4167,14832.267637
600.0,4001,14851.662004
440.0,3485,14868.843476
1055.0,7901,14910.880993
180.0,2107,14940.310842
295.0,2753,14955.762352
800.0,4283,14979.235501
495.0,3691,15004.442338
670.0,5301,15032.296806
305.0,2935,15048.852062
720.0,4019,15076.245838
470.0,3841,15097.786851
455.0,3013,15118.627655
575.0,3756,15137.423419
140.0,1415,15144.592732
510.0,4157,15164.765913
600.0,4917,15187.148073
545.0,3981,15211.444755
115.0,2079,15223.932341
370.0,3035,15237.799449
600.0,4941,15259.817642
570.0,4417,15280.874959
505.0,3387,15295.681113
555.0,3539,15315.696129
605.0,5519,15343.704607
310.0,3041,15358.502403
415.0,3349,15375.396143
570.0,4711,15397.584236
470.0,5077,15420.565483
800.0,5087,15442.937466
570.0,4043,15473.781462
495.0,3535,15489.52827
600.0,4003,15507.248202
940.0,6831,15537.291435
605.0,4527,15557.274843
575.0,5152,15581.243708
540.0,4007,15599.571402
490.0,4357,15619.622266
325.0,3083,15634.564263
775.0,4801,15661.13777
540.0,3500,15679.988134
350.0,3127,15695.090064
225.0,2907,15709.051357
600.0,4261,15730.89076
485.0,4111,15751.039437
650.0,4429,15771.448517
570.0,4123,15790.017035
1115.0,6530,15821.912069
540.0,3579,15839.794504
600.0,4425,15868.87835
530.0,3659,15885.140359
450.0,3237,15901.225216
530.0,4161,15920.026825
305.0,3261,15939.208708
600.0,4267,15960.273323
1060.0,7191,16011.63294
545.0,3742,16030.084179
480.0,4251,16050.010351
485.0,4673,16076.10372
540.0,4079,16094.770037
505.0,4353,16113.553234
530.0,4001,16131.105373
450.0,4449,16150.907864
555.0,4335,16171.870543
640.0,4843,16195.669522
435.0,3859,16218.744211
600.0,4397,16248.170418
740.0,6009,16280.785007
315.0,2583,16294.585235
600.0,4439,16317.987331
525.0,2599,16331.644902
680.0,3191,16347.651524
525.0,2993,16363.540748
470.0,3425,16381.03727
520.0,3591,16399.240526
510.0,3659,16420.50585
370.0,3184,16436.467699
515.0,3965,16459.814598
775.0,3835,16479.63093
370.0,3103,16495.346619
1050.0,5091,16540.865397
580.0,3725,16560.242241
330.0,2825,16576.074852
555.0,3510,16595.174312
745.0,3664,16618.283905
895.0,5769,16657.264608
520.0,3304,16678.167906
575.0,3781,16700.369692
570.0,3634,16718.950996
410.0,3653,16754.098851
545.0,3329,16791.598184
575.0,4071,16837.260564
1250.0,7707,16914.224669
225.0,1957,16933.37671
600.0,3781,16968.420752
365.0,2774,16993.1144
695.0,4457,17030.336814
550.0,4399,17067.645107
770.0,4704,17108.549203
465.0,3693,17141.743161
390.0,2461,17166.244437
555.0,3584,17199.982708
780.0,3788,17236.400901
550.0,3507,17268.217337
495.0,3835,17305.213266
555.0,3389,17338.705018
1355.0,7581,17434.01927
295.0,2353,17457.534351
495.0,3585,17494.457163
715.0,3486,17523.482506
455.0,3539,17539.075777
355.0,3331,17552.692099
600.0,4305,17570.316207
675.0,3895,17586.226935
580.0,3403,17600.25307
600.0,3579,17615.18879
510.0,4215,17632.364734
545.0,3609,17647.114505
475.0,4061,17664.690971
465.0,2387,17674.842765
575.0,4123,17692.939906
450.0,3909,17710.221033
575.0,4039,17727.895468
465.0,2999,17740.720516
575.0,3796,17757.241581
600.0,4125,17777.106485
670.0,3193,17791.333707
460.0,4377,17810.866647
900.0,3873,17827.822218
600.0,4231,17845.80939
365.0,3097,17859.240818
450.0,3185,17872.759388
360.0,2233,17882.182958
450.0,3509,17912.732581
745.0,3537,17927.676848
300.0,3209,17941.44497
600.0,4039,17966.674981
545.0,3498,17986.492872
495.0,3625,18002.14113
545.0,3990,18019.504428
515.0,4604,18039.987035
180.0,2093,18049.812932
495.0,3665,18065.620306
760.0,4769,18087.507609
470.0,3057,18100.864969
315.0,2979,18113.873597
420.0,3805,18130.406596
745.0,4174,18148.520925
525.0,3295,18162.660533
550.0,4114,18180.233738
805.0,3985,18197.491961
605.0,3595,18213.022509
355.0,2715,18224.737877
500.0,3755,18240.808093
655.0,3329,18255.094564
640.0,3031,18268.437336
600.0,3513,18283.398114
665.0,5781,18308.034631
605.0,3661,18323.968334
505.0,3909,18340.743607
520.0,3724,18356.601658
360.0,2849,18380.89864
555.0,3061,18393.845313
525.0,3751,18410.470771
345.0,3588,18425.935228
615.0,3035,18438.73595
570.0,4435,18457.494067
1035.0,6251,18484.058292
465.0,3793,18500.208162
555.0,3073,18513.347065
520.0,4925,18534.245512
470.0,2949,18546.787331
645.0,4001,18564.229832
770.0,4386,18584.720062
695.0,3291,18598.747062
540.0,4003,18615.868562
555.0,3827,18632.340472
535.0,3905,18650.228236
510.0,3807,18666.392069
830.0,3917,18682.869037
690.0,3367,18697.895102
515.0,3843,18714.376112
495.0,3545,18729.17085
485.0,4201,18746.749137
575.0,4151,18764.262283
810.0,4313,18782.385796
600.0,4049,18799.306559
555.0,3486,18826.64543
275.0,3171,18840.044751
800.0,4791,18860.057607
310.0,2321,18869.663368
545.0,3968,18886.336646
545.0,3961,18902.838789
405.0,3397,18917.568818
440.0,2156,18926.772171
1385.0,8259,18961.660483
490.0,3665,18976.987785
360.0,2865,18988.982922
575.0,3774,19006.169286
600.0,3657,19021.52977
805.0,3797,19037.458838
570.0,3580,19052.470679
775.0,4261,19070.257733
970.0,3841,19086.64383
550.0,3564,19101.652383
490.0,3347,19115.673901
260.0,1877,19123.513065
665.0,3201,19136.945168
800.0,4001,19154.505104
660.0,4343,19173.539051
680.0,4955,19194.930851
575.0,3601,19210.805298
540.0,3588,19226.972354
810.0,4195,19247.735249
500.0,3235,19275.267182
640.0,4165,19293.935359
695.0,3755,19311.141329
285.0,2461,19321.85971
575.0,4101,19339.31554
1200.0,5819,19364.680113
545.0,4326,19383.131899
350.0,2697,19394.654692
570.0,4267,19412.533054
650.0,4707,19432.341391
455.0,3297,19446.988908
570.0,3258,19461.824846
545.0,3907,19478.373754
905.0,6479,19509.977056
575.0,4464,19541.931257
560.0,4213,19563.597669
610.0,4239,19584.053967
545.0,4433,19605.933138
550.0,3237,19620.318219
570.0,5355,19644.09809
545.0,5721,19670.959691
770.0,2917,19684.943775
275.0,3485,19700.344353
1115.0,6377,19729.224822
